ID,Category,Requirement,Status,File:Line,Evidence,Reason
28,Return Types (sdk.py),TargetInfo dataclass,DONE,sdk.py:84-92,Frozen dataclass with column/task_type/confidence/ambiguity_reason/candidates,Fully implemented
29,Return Types (sdk.py),FeatureReport dataclass,DONE,sdk.py:95-102,Frozen dataclass with feature_names/n_features/n_rows/features DataFrame,Fully implemented
30,Return Types (sdk.py),ModelInfo dataclass,DONE,sdk.py:105-115,Frozen dataclass with model_type/score/candidates/best_params/truncated/trials_used/time_elapsed,Fully implemented
31,Return Types (sdk.py),EvaluationMetrics dataclass,DONE,sdk.py:118-131,Frozen dataclass with accuracy/precision/recall/F1/confusion_matrix/RMSE/MAE/R2/ambiguity_caveat/raw,Fully implemented
32,Return Types (sdk.py),ExplanationReport dataclass,DONE,sdk.py:134-141,Frozen dataclass with feature_importance/explainer_type/sampled/n_samples_used,Fully implemented
33,Return Types (simple.py),DatasetProfile dataclass,DONE,simple.py:40-59,Frozen dataclass with shape/dtypes/numeric_summary/categorical_summary/missing_counts/memory/columns/validation_passed,Fully implemented
34,Return Types (simple.py),CleanResult dataclass,DONE,simple.py:62-75,Frozen dataclass with n_rows/n_columns/transform_log/column_names,Fully implemented
35,Return Types (simple.py),ValidationResult dataclass,DONE,simple.py:78-97,Frozen dataclass with passed/n_rows/n_columns/null_columns/empty_columns/duplicates/issues,Fully implemented
36,Return Types (simple.py),TargetResult dataclass,DONE,simple.py:100-113,Frozen dataclass with column/task_type/confidence/ambiguity_reason,Fully implemented
37,Return Types (simple.py),FeatureResult dataclass,DONE,simple.py:116-128,Frozen dataclass with feature_names/n_features/n_rows,Fully implemented
38,Return Types (simple.py),ModelResult dataclass,DONE,simple.py:131-149,Frozen dataclass with best_model_type/best_score/candidates/task_type/evaluation_metrics,Fully implemented
39,Return Types (simple.py),ExplainResult dataclass,DONE,simple.py:152-166,Frozen dataclass with feature_importance/explainer_type/sampled/n_samples_used,Fully implemented
40,Return Types (simple.py),TrainResult dataclass,DONE,simple.py:169-188,Frozen dataclass with best_model_type/best_score/candidates/feature_importance/report/artifact_uri,Fully implemented
41,Advanced API Preservation,run_pipeline() exported,DONE,__init__.py:124+193-267,In __all__; defined and usable; used by CLI and API clients,Fully preserved
42,Advanced API Preservation,WorkflowState exported,DONE,__init__.py:74+123,Imported from workflow.state; in __all__,Fully preserved
43,Advanced API Preservation,AetherMLConfig exported,DONE,__init__.py:33+119,Imported from configs.settings; in __all__,Fully preserved
44,Advanced API Preservation,Stages list works,DONE,workflow/graph.py:58-70,PIPELINE_ORDER with all 11 stages; tested in test_full_pipeline.py,Fully preserved
45,Exports,AetherML accessible from top-level,DONE,__init__.py:36+109,Imported and in __all__,Fully exported
46,Exports,Simple functions accessible from top-level,DONE,__init__.py:46-73+82-99,All 9 sync + 9 async imported and in __all__,Fully exported
47,Exports,All result types exported,DONE,__init__.py:36-55+100-117,8 sdk.py types + 8 simple.py types all in __all__,Fully exported
48,Exports,All async variants exported,DONE,__init__.py:56-73+83-99,All 9 _async variants imported and in __all__,Fully exported
49,Architecture,LangGraph remains internal,DONE,workflow/graph.py:34 (internal only),sdk.py and simple.py have zero LangGraph imports; no LangGraph in public signatures,LangGraph is an implementation detail only
50,Architecture,Agents remain internal,DONE,__init__.py:142-152 (deferred imports),No agent classes in __init__.py exports or public API; imported lazily inside _compose_agents(),Agents are composition details only
51,Architecture,No business logic duplication,DONE,simple.py:4-6 (docstring),simple.py creates AetherML instance and calls _run_stages_async; no duplicated computation,Zero duplication confirmed
52,Architecture,Composition root in __init__.py,DONE,__init__.py:129-175,_compose_agents(config data_path) instantiates all 11 agents with DI,Single composition root
53,Dependencies,Core deps in pyproject.toml,DONE,pyproject.toml:32-42,pandas/polars/numpy/scikit-learn/pyarrow/openpyxl/joblib + pydantic/langgraph all required,All core deps present
54,Dependencies,Optional extras defined (spark/api/cli),DONE,pyproject.toml:44-47,cli=typer+rich; spark=pyspark; api=fastapi+uvicorn; dev=pytest+ruff+mypy,All extras defined
55,Dependencies,Heavy deps optional (MLflow/Qdrant/Docker),PARTIAL,pyproject.toml:44-47 (missing),No [mlflow] [qdrant] or [docker] extras defined; code handles ImportError gracefully but no pip install path documented,Should add: mlflow=[mlflow>=2.0] qdrant=[qdrant-client>=1.0] docker=[docker>=7.0]
56,Testing,Tests for AetherML OOP class,DONE,test_sdk.py:1-517,517 lines; covers constructor/methods/chaining/types/errors/backward-compat,Comprehensive
57,Testing,Tests for simple API,DONE,test_simple.py:1-389,389 lines; covers all 9 functions + sync/async pairs + return types + LangGraph invocation,Comprehensive
58,Testing,Tests for advanced API (run_pipeline),DONE,test_pipeline_e2e.py+test_sdk.py:503-517,Full 11-stage E2E tests + backward compat test for run_pipeline,Comprehensive
59,Testing,Tests for imports,DONE,test_sdk.py:63-110 + test_simple.py:352-389,Import performance test + all result types + async variants + backward compat,Comprehensive
60,Testing,Tests for error handling,DONE,test_sdk.py:473-496 + test_simple.py:84-89,Missing file + invalid null strategy + empty Excel + running loop detection,Comprehensive
61,Testing,Total test count,DONE,562 tests across 31 files,All 562 pass; 0 failures; mypy clean; ruff clean,Verified this session
62,Documentation,README quickstart uses simple API first,DONE,README.md:481-496,Quick Start section leads with analyze()/train() before OOP or advanced,Beginner-first approach
63,Documentation,README shows advanced API separately,DONE,README.md:569-629,Separate Advanced Usage section with run_pipeline/stages/config/OOP subsections,Clear separation
64,Documentation,Docstrings on all public methods,DONE,sdk.py (all 15 methods) + simple.py (all 9 functions),Every method has docstring with description/Args/Returns/Example,Complete coverage
65,Documentation,Module-level docstrings,DONE,sdk.py:1-19 + simple.py:1-22 + __init__.py:1-26,All three API tiers documented at module level,Complete
66,Installation,pip install aetherml installs all core deps,DONE,pyproject.toml:32-42,All 9 required deps auto-install with pip install aetherml,Fully functional
67,Installation,pip install aetherml[cli] for CLI,DONE,pyproject.toml:45+57-58,typer+rich optional; CLI entry point registered,Works
68,Installation,pip install aetherml[api] for FastAPI,DONE,pyproject.toml:47,fastapi+uvicorn optional,Works
69,Lint & Type Check,mypy passes,DONE,85 source files checked,0 errors in strict mode + warn_return_any,Clean
70,Lint & Type Check,ruff passes,DONE,aetherml/ directory,All checks passed (E/F/I/N/UP/B/SIM/ANN rules),Clean
